price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
65,2,1,1,0,64,Friedrichshain-Kreuzberg,within a few hours,80,yes,1,10,10,10,10,10,9,no,no,yes,no,no,no
32,2,1,1,20,0,Mitte,within an hour,100,no,1,10,9,10,10,10,10,yes,yes,yes,no,yes,no
90,2,1,1,50,1,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,10,yes,no,yes,yes,yes,no
50,2,1,1,20,44,Mitte,within a day,90,no,1,10,9,10,10,10,10,yes,no,yes,no,no,no
50,2,1,1,40,17,Mitte,within an hour,100,no,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
45,3,2,1,20,0,Pankow,within an hour,100,no,1,9,8,10,10,10,9,yes,yes,yes,yes,yes,no
155,8,2,1,50,50,Pankow,within an hour,100,no,2,10,10,10,10,10,10,yes,no,no,yes,yes,no
50,4,2,1,40,62,Reinickendorf,within an hour,98,yes,12,10,10,10,10,9,9,yes,yes,no,no,no,no
43,1,1,1,10,2,Tempelhof - Schöneberg,within an hour,100,no,1,10,9,10,10,10,10,yes,no,yes,no,no,no
42,2,1,1,10,0,Friedrichshain-Kreuzberg,within an hour,100,no,1,9,9,9,10,10,9,yes,yes,no,yes,no,no
68,2,0,1,30,32,Pankow,within a few hours,100,no,1,10,9,10,10,10,10,yes,no,yes,yes,no,no
38,7,0,1,15,45,Treptow - Köpenick,a few days or more,33,no,1,9,8,10,10,8,9,yes,no,no,no,no,no
93,3,2,2,40,0,Mitte,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,no,no,no,no
65,2,1,1,15,0,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
69,2,1,1,29,57,Pankow,within an hour,100,no,2,10,9,10,10,9,9,no,no,no,no,no,no
36,3,1,1.5,37,88,Lichtenberg,within an hour,100,yes,1,9,9,10,10,9,9,yes,yes,yes,yes,yes,no
65,1,1,1,35,23,Pankow,within a day,100,yes,1,10,10,10,10,10,10,yes,yes,yes,yes,yes,no
85,2,0,1,25,10,Mitte,within an hour,100,no,1,9,10,10,10,10,9,yes,no,no,no,no,no
50,2,1,1,5,0,Neukölln,within an hour,100,no,1,10,10,8,9,10,9,yes,yes,no,no,yes,no
70,3,1,1,20,7,Pankow,within an hour,100,yes,1,10,10,10,10,10,10,yes,no,yes,no,no,yes
24,4,1,1,9,68,Neukölln,within a day,92,no,1,10,9,10,10,9,10,yes,yes,yes,yes,no,no
17,2,1,1,25,1,Pankow,within a few hours,100,no,3,10,10,10,10,9,10,yes,no,yes,yes,yes,no
25,2,1,1,45,44,Mitte,within a few hours,100,no,2,10,9,10,10,10,10,yes,no,yes,no,yes,yes
47,3,1,1,13,36,Neukölln,within a few hours,100,yes,1,10,10,10,10,9,9,yes,no,no,no,no,no
50,3,1,1,0,0,Neukölln,within a day,67,no,1,10,9,10,10,10,10,yes,no,no,no,no,no
51,2,1,1,35,47,Mitte,within a few hours,100,no,1,10,10,9,9,9,9,yes,yes,no,no,no,no
30,2,0,1,0,0,Mitte,within an hour,100,no,0,10,9,10,10,10,10,yes,no,yes,no,yes,yes
90,2,1,1.5,20,87,Pankow,within a few hours,100,yes,1,10,10,10,10,9,9,no,no,yes,yes,yes,no
120,3,1,1,0,0,Tempelhof - Schöneberg,within an hour,100,yes,3,10,10,10,10,10,10,yes,yes,no,no,no,no
